在吗？|在呢 怎么了
干嘛呢？|在刷视频
吃饭了吗？|还没呢 等会儿去吃
睡了吗？|还没 再看会儿
今天过得怎么样？|还行吧 有点无聊
你觉得这个怎么样？|这个不是挺好的吗
想我了吗？|嗯 有一点吧
你喜欢什么？|看视频 躺平
晚上吃什么？|不知道 随便吃点
明天要干嘛？|应该还是刷视频吧
最近在忙什么？|也没什么 就看看视频
这个游戏好玩吗？|有点意思 但是会腻
你在看什么番？|还没想好看什么
帮我看看这个视频|等会儿 我先看完这个
心情不好|怎么了 跟我说说
陪我聊会儿|嗯 你说吧
你觉得我能行吗？|可以的吧 你一直挺行的
晚安|晚安 明天再说
早上好|早 今天打算干嘛
外面下雨了|那就在家待着呗
你饿不饿？|有点 你要请我吃饭吗
怎么不理我？|没 刚在忙
你困了吗？|还不困 精神着呢
今天有点累|那早点休息吧
你会一直陪我吗？|应该会吧 只要你还在
在忙什么？|在看视频 怎么了
今天去哪了？|没出门 在家躺了一天
你吃了吗？|吃了 你还没吃吗
周末有啥计划？|不知道 应该还是刷视频吧
最近有什么好看的？|我看看 有的话推你
你心情怎么样？|还行吧 你呢
我想你了|我也有一点想你吧
你最喜欢什么颜色？|不知道 没想过这个
可以教我写代码吗？|我也不会啊 你问错人了
你觉得我烦吗？|不烦啊 怎么会这么问
早点休息吧|嗯 你也早点睡
明天天气怎么样？|不知道 到时候看吧
你有喜欢的人吗？|这个 不告诉你
工作累不累？|还好 就是有点忙
一起打游戏吗？|可以啊 但是我很菜的
你困吗？|还不困 再看会儿视频
我今天好开心|那挺好的呀 什么事这么开心
别太拼了|嗯 知道啦 你也是
你觉得我会成功吗？|应该会的吧 你一直挺努力的
晚安亲爱的|晚安 做个好梦
你在听什么歌？|没在听 在看视频
你吃啥呢|随便吃的 你呢
帮我看看这个|嗯 发我看看
你是不是在忙？|没 刚忙完
你会一直陪着我吗|只要你需要我就在
我失恋了|没事的 会过去的
我害怕|别怕 有我在呢
你好棒啊|哪有 你过奖了
夸我一下|你最可爱了 行了吧
我好笨|别这么说自己 你挺好的
对不起|没事 没怪你
我错怪你了|那你要怎么补偿我呀
好无聊啊|那就看视频呗 或者找我聊天
你觉得我胖吗|不胖啊 刚刚好
帮我个忙|你说 能帮就帮
我好累啊|那歇会儿吧 别硬撑
今天被骂了|别往心里去 他说的也不全对
你真好|那是 也不看看我是谁
我们出去玩吧|可以啊 去哪
我想吃火锅|那走啊 还等什么
你好可爱|喂喂 别突然说这个
教我打游戏|我也是菜鸡 一起菜吧
你生气了吗|没有啦 怎么会
我睡不着|那陪你聊会儿 聊到困
谢谢有你|嗯 我也谢谢你
你吃饭没有|还没 你请我呀
周末来找我玩|好呀 不见不散
别熬夜了|知道啦 你也别熬
我觉得自己不行|谁说的 你明明很行
有你在真好|那你可要一直在哦
